"Name","Id","WorkingSet","StartTime","RunTime"
"svchost","5576","55930880","4/20/2022 8:19:29 AM","06:39:01.1380430"
"svchost","5604","38477824","4/20/2022 8:19:29 AM","06:39:01.1364058"
"svchost","5612","7127040","4/20/2022 8:19:29 AM","06:39:01.1364134"
"svchost","5632","9596928","4/20/2022 8:19:29 AM","06:39:01.1356084"
"svchost","5696","6365184","4/20/2022 8:19:29 AM","06:39:01.1334581"
"svchost","5732","4976640","4/20/2022 8:19:29 AM","06:39:01.1322821"
"svchost","5848","17645568","4/20/2022 8:19:29 AM","06:39:01.1285349"
"svchost","5956","18857984","4/20/2022 8:20:00 AM","06:38:30.0561058"
"svchost","6424","8548352","4/20/2022 8:19:29 AM","06:39:01.0668493"
"svchost","6684","11849728","4/20/2022 8:19:29 AM","06:39:01.0412618"
"svchost","6800","10125312","4/20/2022 8:19:29 AM","06:39:01.0304791"
"svchost","9084","32567296","4/20/2022 8:19:31 AM","06:38:59.8612642"
"svchost","11048","12402688","4/20/2022 8:19:38 AM","06:38:52.3353053"
"svchost","12632","7974912","4/20/2022 8:20:01 AM","06:38:29.6949717"
"svchost","12640","28327936","4/20/2022 8:20:01 AM","06:38:29.6924734"
"svchost","12680","17252352","4/20/2022 8:20:01 AM","06:38:29.4378902"
"svchost","12696","6754304","4/20/2022 8:20:01 AM","06:38:29.6658669"
"svchost","12768","30056448","4/20/2022 8:20:01 AM","06:38:29.6250194"
"svchost","12976","17006592","4/20/2022 8:20:01 AM","06:38:29.5526855"
"svchost","13528","18477056","4/20/2022 8:21:29 AM","06:37:01.4208465"
"svchost","13708","18935808","4/20/2022 8:20:02 AM","06:38:28.6993665"
"svchost","13948","7839744","4/20/2022 8:20:03 AM","06:38:27.0584586"
"svchost","14076","10207232","4/20/2022 8:21:32 AM","06:36:58.6712816"
"svchost","14736","17793024","4/20/2022 8:20:05 AM","06:38:25.9508334"
"svchost","15376","14573568","4/20/2022 8:21:32 AM","06:36:58.7801879"
"svchost","16220","11534336","4/20/2022 8:20:08 AM","06:38:22.8714605"
"svchost","16548","12853248","4/20/2022 8:22:20 AM","06:36:10.1925071"
"svchost","16644","32038912","4/20/2022 8:20:18 AM","06:38:12.3657110"
"svchost","16860","12795904","4/20/2022 8:20:11 AM","06:38:19.5206142"
"svchost","17752","10473472","4/20/2022 8:20:19 AM","06:38:11.5713482"
"svchost","24812","12554240","4/20/2022 8:21:37 AM","06:36:53.8213746"
"svchost","25780","18137088","4/20/2022 8:21:29 AM","06:37:01.5337567"
"svchost","25924","9977856","4/20/2022 8:31:55 AM","06:26:35.6259234"
"svchost","26800","7790592","4/20/2022 8:21:37 AM","06:36:53.7396748"
"svchost","26840","14372864","4/20/2022 8:21:37 AM","06:36:53.9649074"
"svchost","27024","9560064","4/20/2022 8:21:37 AM","06:36:53.7075049"
"svchost","27140","12558336","4/20/2022 8:21:37 AM","06:36:53.2816790"
"svchost","31684","9478144","4/20/2022 12:28:19 PM","02:30:11.8439022"
"System","4","3006464","4/20/2022 8:19:22 AM","06:39:08.0012719"
"SystemSettings","3580","4554752","4/20/2022 8:23:59 AM","06:34:31.9173293"
"taskhostw","13104","16896000","4/20/2022 8:20:01 AM","06:38:29.5307139"
